Description,Price,Image URL,Rate,Total Rate
,33,https://m.media-amazon.com/images/I/71kobXlDVLL._AC_UL320_.jpg,4.2 out of 5 stars,"10,709"
,338,https://m.media-amazon.com/images/I/41LJMVP5gvL._AC_UL320_.jpg,5.0 out of 5 stars,2
,77,https://m.media-amazon.com/images/I/71JvN20iARL._AC_UL320_.jpg,4.6 out of 5 stars,"8,982"
,23,https://m.media-amazon.com/images/I/71HkvtJWg8L._AC_UL320_.jpg,4.4 out of 5 stars,41
,24,https://m.media-amazon.com/images/I/71YFOZ2k0XL._AC_UL320_.jpg,4.5 out of 5 stars,"192,941"
,20,https://m.media-amazon.com/images/I/71LHksRF15L._AC_UL320_.jpg,4.5 out of 5 stars,"254,399"
,,,,
,5,https://m.media-amazon.com/images/I/61iLNIUwPnL._AC_UL320_.jpg,4.4 out of 5 stars,"35,990"
,34,https://m.media-amazon.com/images/I/91LTQub9MyL._AC_UL320_.jpg,4.0 out of 5 stars,"7,378"
,39,https://m.media-amazon.com/images/I/71clX37jOHL._AC_UL320_.jpg,4.5 out of 5 stars,614
,79,https://m.media-amazon.com/images/I/71Q1DV-irwL._AC_UL320_.jpg,4.7 out of 5 stars,195
,699,https://m.media-amazon.com/images/I/81zea4pDlSL._AC_UL320_.jpg,4.8 out of 5 stars,265
,,https://m.media-amazon.com/images/I/71JvN20iARL._AC_UL320_.jpg,4.6 out of 5 stars,
,29,https://m.media-amazon.com/images/I/71fNwk9uLBL._AC_UL320_.jpg,4.2 out of 5 stars,"6,362"
,82,https://m.media-amazon.com/images/I/71cp1iMcqaL._AC_UL320_.jpg,4.5 out of 5 stars,"7,258"
,14,https://m.media-amazon.com/images/I/61B-7qGE7eL._AC_UL320_.jpg,4.6 out of 5 stars,"6,330"
,13,https://m.media-amazon.com/images/I/71l4DqotI3L._AC_UL320_.jpg,4.8 out of 5 stars,"231,726"
,,,,
,17,https://m.media-amazon.com/images/I/516iHpkSbTL._AC_UL320_.jpg,4.3 out of 5 stars,"36,034"
,9,https://m.media-amazon.com/images/I/91DPeVsH5BL._AC_UL320_.jpg,4.5 out of 5 stars,"8,746"
,,,,
,12,https://m.media-amazon.com/images/I/71LADJi+wCL._AC_UL320_.jpg,4.5 out of 5 stars,"100,302"
,12,https://m.media-amazon.com/images/I/61HgzRm2p+L._AC_UL320_.jpg,4.2 out of 5 stars,"4,519"
,,https://m.media-amazon.com/images/I/71DLCse1rLL._AC_UL320_.jpg,4.1 out of 5 stars,"48,068"
,34,https://m.media-amazon.com/images/I/91LTQub9MyL._AC_UL320_.jpg,4.0 out of 5 stars,"7,378"
,79,https://m.media-amazon.com/images/I/71Q1DV-irwL._AC_UL320_.jpg,4.7 out of 5 stars,195
,43,https://m.media-amazon.com/images/I/81e8dX+yO0L._AC_UL320_.jpg,4.7 out of 5 stars,11
,199,https://m.media-amazon.com/images/I/61Ejrhjtp1L._AC_UL320_.jpg,4.5 out of 5 stars,63
,,https://m.media-amazon.com/images/I/611Q8d+YRXL._AC_UL320_.jpg,4.6 out of 5 stars,"52,065"
,89,https://m.media-amazon.com/images/I/71YzrQBZ4+L._AC_UL320_.jpg,4.6 out of 5 stars,"16,136"
,8,https://m.media-amazon.com/images/I/71eYHT4wi1L._AC_UL320_.jpg,4.3 out of 5 stars,"1,965"
,12,https://m.media-amazon.com/images/I/714ZARiKFKL._AC_UL320_.jpg,4.4 out of 5 stars,"68,616"
,19,https://m.media-amazon.com/images/I/81CtIQmFeML._AC_UL320_.jpg,4.3 out of 5 stars,408
,295,https://m.media-amazon.com/images/I/71HEabBsEGL._AC_UL320_.jpg,4.5 out of 5 stars,609
,699,https://m.media-amazon.com/images/I/81zea4pDlSL._AC_UL320_.jpg,4.8 out of 5 stars,265
,39,https://m.media-amazon.com/images/I/51+kSMD2XEL._AC_UL320_.jpg,3.9 out of 5 stars,549
,25,https://m.media-amazon.com/images/I/61ZgPGqgKPL._AC_UL320_.jpg,3.8 out of 5 stars,"11,061"
,9,https://m.media-amazon.com/images/I/81ioEquxUHL._AC_UL320_.jpg,4.5 out of 5 stars,"4,440"
,,,,
,,https://m.media-amazon.com/images/I/71VvntDcVzL._AC_UL320_.jpg,4.6 out of 5 stars,"10,880"
,6,https://m.media-amazon.com/images/I/71dHQoi+DCL._AC_UL320_.jpg,4.5 out of 5 stars,"74,017"
,,https://m.media-amazon.com/images/I/718Wvi256FL._AC_UL320_.jpg,3.9 out of 5 stars,"4,291"
,12,https://m.media-amazon.com/images/I/71MCADVAB+L._AC_UL320_.jpg,3.7 out of 5 stars,"2,390"
,15,https://m.media-amazon.com/images/I/71KYu9tXWPL._AC_UL320_.jpg,4.3 out of 5 stars,"2,908"
,21,https://m.media-amazon.com/images/I/71t07L8zCLL._AC_UL320_.jpg,4.2 out of 5 stars,"4,961"
,,,,
,23,https://m.media-amazon.com/images/I/51D5dkiRAaL._AC_UL320_.jpg,4.4 out of 5 stars,"22,372"
,12,https://m.media-amazon.com/images/I/71bUefP+PUS._AC_UL320_.jpg,4.5 out of 5 stars,"1,351"
,19,https://m.media-amazon.com/images/I/61cZruNk9LL._AC_UL320_.jpg,4.3 out of 5 stars,"40,135"
,15,https://m.media-amazon.com/images/I/61SjBmzuccL._AC_UL320_.jpg,4.3 out of 5 stars,"4,983"
,12,https://m.media-amazon.com/images/I/71KHlJw+8TL._AC_UL320_.jpg,3.9 out of 5 stars,"16,551"
,29,https://m.media-amazon.com/images/I/819svHhynuL._AC_UL320_.jpg,4.4 out of 5 stars,"96,617"
,13,https://m.media-amazon.com/images/I/610abeGarmS._AC_UL320_.jpg,4.3 out of 5 stars,"28,007"
,39,https://m.media-amazon.com/images/I/81+csuAamPL._AC_UL320_.jpg,4.4 out of 5 stars,"6,449"
,17,https://m.media-amazon.com/images/I/71hz7en4TYL._AC_UL320_.jpg,4.5 out of 5 stars,"13,324"
,14,https://m.media-amazon.com/images/I/81GGDYhfSCL._AC_UL320_.jpg,4.1 out of 5 stars,"99,009"
,26,https://m.media-amazon.com/images/I/61tatOQzdLL._AC_UL320_.jpg,4.7 out of 5 stars,"15,449"
,11,https://m.media-amazon.com/images/I/71bQCU8YqbL._AC_UL320_.jpg,4.6 out of 5 stars,"1,476"
,29,https://m.media-amazon.com/images/I/61Ehy1Wp9RL._AC_UL320_.jpg,4.3 out of 5 stars,"6,973"
,4,https://m.media-amazon.com/images/I/51P+tND+wSL._AC_UL320_.jpg,3.8 out of 5 stars,"1,113"
,129,https://m.media-amazon.com/images/I/71zvHLZ7A2L._AC_UL320_.jpg,4.5 out of 5 stars,"4,996"
,,https://m.media-amazon.com/images/I/71Q7px0VmDL._AC_UL320_.jpg,4.1 out of 5 stars,"2,100"
,34,https://m.media-amazon.com/images/I/71O9zb5g43L._AC_UL320_.jpg,4.3 out of 5 stars,"2,039"
,16,https://m.media-amazon.com/images/I/71IxhJb6wFL._AC_UL320_.jpg,4.3 out of 5 stars,"29,362"
,13,https://m.media-amazon.com/images/I/61a-PZAnKxL._AC_UL320_.jpg,4.2 out of 5 stars,"80,193"
,8,https://m.media-amazon.com/images/I/71Z3-5FnNsL._AC_UL320_.jpg,4.4 out of 5 stars,"19,494"
,13,https://m.media-amazon.com/images/I/71p0WuaW-5L._AC_UL320_.jpg,4.2 out of 5 stars,909
,12,https://m.media-amazon.com/images/I/712YaF31-3L._AC_UL320_.jpg,4.5 out of 5 stars,"64,892"
,19,https://m.media-amazon.com/images/I/71nZkwLkJLL._AC_UL320_.jpg,4.2 out of 5 stars,628
,10,https://m.media-amazon.com/images/I/61culuj5EmL._AC_UL320_.jpg,4.3 out of 5 stars,"10,093"
